,gameMode_name,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,team_0_crowns,opponent_0_crowns
2,Ladder,Electro Giant,Dark Prince,Baby Dragon,Lightning,Tornado,Goblin Cage,Mega Minion,Skeletons,Hog Rider,Musketeer,Fireball,Ice Golem,Cannon,The Log,Skeletons,Ice Spirit,0.0,1.0
3,Ladder,Electro Giant,Dark Prince,Baby Dragon,Lightning,Tornado,Goblin Cage,Mega Minion,Skeletons,Electro Wizard,Royal Hogs,Minions,Royal Ghost,Bandit,P.E.K.K.A,Zap,Fireball,1.0,0.0
4,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Giant,Graveyard,Skeleton Army,Minions,Archer Queen,Dark Prince,Arrows,Giant Snowball,1.0,0.0
5,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Dark Prince,Miner,Sparky,Goblin Giant,Minion Horde,Bats,Spear Goblins,Zap,1.0,0.0
6,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Electro Giant,Bomber,Skeletons,Goblin Hut,Archer Queen,Tornado,The Log,Fire Spirit,2.0,1.0
7,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Guards,Skeleton Dragons,Tombstone,Lava Hound,Zap,Fireball,Mega Minion,Balloon,3.0,1.0
8,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Valkyrie,Baby Dragon,Archer Queen,Barbarian Barrel,Graveyard,Tombstone,Poison,Tornado,1.0,0.0
9,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Bats,Poison,Miner,Valkyrie,Archer Queen,Mortar,The Log,Skeletons,3.0,1.0
10,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Tombstone,Zap,Bomber,Minion Horde,Graveyard,Giant,Skeletons,Arrows,0.0,1.0
11,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Archer Queen,Tesla,Fire Spirit,Hog Rider,Earthquake,Skeletons,The Log,Valkyrie,1.0,0.0
12,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Mortar,Fireball,Hog Rider,Musketeer,The Log,Guards,Bats,Valkyrie,1.0,0.0
13,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Princess,Hunter,Goblin Barrel,Wall Breakers,Cannon Cart,Skeletons,Bandit,The Log,1.0,2.0
14,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Mega Knight,Inferno Dragon,Miner,Skeleton Barrel,Goblin Gang,Spear Goblins,Bats,Zap,0.0,3.0
15,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,P.E.K.K.A,Ram Rider,Electro Wizard,Baby Dragon,Bandit,Barbarian Barrel,Giant Snowball,Lightning,1.0,3.0
16,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Golem,Elite Barbarians,Golden Knight,Mega Minion,Electro Dragon,Tornado,Fireball,Barbarian Barrel,1.0,0.0
17,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Golem,Night Witch,Bats,Baby Dragon,Lightning,Bomber,Prince,Tornado,1.0,2.0
18,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Archer Queen,Skeletons,Tesla,Fireball,Electro Spirit,Valkyrie,X-Bow,The Log,0.0,1.0
19,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Baby Dragon,Bowler,Giant Snowball,Tombstone,Electro Wizard,Poison,Graveyard,Skeleton King,1.0,0.0
20,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Skeleton Army,Witch,Fireball,Musketeer,Hog Rider,Giant,Valkyrie,Minion Horde,1.0,2.0
21,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Elite Barbarians,Inferno Dragon,Valkyrie,Fireball,Zap,Witch,Bandit,Barbarian Hut,1.0,0.0
22,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Tornado,Skeletons,Tesla,Goblin Drill,Magic Archer,Wall Breakers,Valkyrie,The Log,1.0,0.0
23,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Tombstone,Valkyrie,Barbarian Barrel,Tornado,Poison,Baby Dragon,Ice Wizard,Graveyard,0.0,1.0
24,Ladder,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning,Golem,Graveyard,Skeleton Army,Inferno Dragon,Fire Spirit,Bomber,Minion Horde,Arrows,2.0,1.0
0,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,The Log,Miner,Wall Breakers,Tesla,Bats,Valkyrie,Spear Goblins,Fireball,2.0,1.0
1,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Golden Knight,Fire Spirit,Poison,Giant Snowball,Dart Goblin,Skeletons,Miner,Tesla,0.0,1.0
2,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Sparky,Giant,Electro Wizard,Arrows,Graveyard,Skeleton Army,Dark Prince,Giant Snowball,0.0,1.0
3,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Lava Hound,Balloon,Tombstone,Skeleton Dragons,Mega Minion,Fireball,Barbarians,Zap,1.0,3.0
4,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Tornado,Skeletons,Tesla,The Log,Magic Archer,Wall Breakers,Valkyrie,Goblin Drill,3.0,0.0
5,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Skeletons,Fireball,Archers,Electro Spirit,Knight,The Log,X-Bow,Tesla,1.0,0.0
6,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,P.E.K.K.A,Battle Ram,Royal Ghost,Electro Wizard,Archer Queen,Bandit,Zap,Fireball,0.0,1.0
7,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Giant,Night Witch,Lightning,Wizard,Dark Prince,Tombstone,Miner,Tornado,1.0,0.0
8,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Giant,Sparky,Mini P.E.K.K.A,Arrows,Archer Queen,Bats,Skeleton Army,Zap,1.0,2.0
9,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Giant Snowball,Royal Delivery,Ice Golem,Bats,Balloon,Hunter,Miner,The Log,2.0,1.0
10,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Arrows,Balloon,Barbarians,Inferno Dragon,Lava Hound,Miner,Skeleton Dragons,Zap,3.0,2.0
11,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Mega Knight,Dark Prince,Bandit,Inferno Dragon,Goblin Drill,Electro Wizard,Fireball,Arrows,1.0,0.0
12,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Royal Delivery,Dart Goblin,Princess,The Log,Inferno Tower,Goblin Barrel,Skeleton Army,Valkyrie,0.0,1.0
13,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Giant,Witch,Skeleton King,Inferno Dragon,Fireball,Arrows,Graveyard,Skeleton Army,0.0,3.0
14,Ladder,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army,Valkyrie,Tornado,Poison,Miner,Bomb Tower,The Log,Ice Wizard,Magic Archer,0.0,1.0
15,Challenge_AllCards_EventDeck,Night Witch,Graveyard,Arrows,Bowler,Giant,Bats,Giant Snowball,Skeleton Army,Spear Goblins,Wall Breakers,Magic Archer,Bomb Tower,Fireball,Miner,Valkyrie,Tornado,0.0,1.0
16,Challenge_AllCards_EventDeck,Night Witch,Graveyard,Arrows,Bowler,Giant,Bats,Giant Snowball,Skeleton Army,P.E.K.K.A,Mega Knight,Archer Queen,Electro Wizard,Zap,Freeze,Skeleton Army,Graveyard,2.0,1.0
17,Challenge_AllCards_EventDeck,Night Witch,Graveyard,Arrows,Bowler,Giant,Bats,Giant Snowball,Skeleton Army,Bandit,Poison,Royal Ghost,Witch,Tombstone,Mega Minion,Skeleton King,Miner,1.0,0.0
18,Challenge_AllCards_EventDeck,Night Witch,Graveyard,Arrows,Bowler,Giant,Bats,Giant Snowball,Skeleton Army,Lava Hound,Lumberjack,Flying Machine,Fireball,Baby Dragon,Bats,Skeleton Army,Clone,3.0,1.0
19,Challenge_AllCards_EventDeck,Night Witch,Graveyard,Arrows,Bowler,Giant,Bats,Giant Snowball,Skeleton Army,Rascals,Minion Horde,Goblin Barrel,Mirror,Furnace,Fireball,The Log,Bowler,0.0,1.0
20,Challenge_AllCards_EventDeck,Night Witch,Graveyard,Arrows,Bowler,Giant,Bats,Giant Snowball,Skeleton Army,Barbarian Barrel,Lightning,Tornado,Guards,Mega Minion,Electro Dragon,Prince,Golem,1.0,2.0
21,Challenge_AllCards_EventDeck,Night Witch,Graveyard,Arrows,Bowler,Giant,Bats,Giant Snowball,Skeleton Army,Lava Hound,Inferno Dragon,Balloon,Tombstone,Valkyrie,Fireball,Zap,Minions,2.0,1.0
22,Challenge_AllCards_EventDeck,Night Witch,Graveyard,Arrows,Bowler,Giant,Bats,Giant Snowball,Skeleton Army,Skeletons,Tesla,Hog Rider,Valkyrie,Firecracker,Earthquake,The Log,Electro Spirit,1.0,0.0
23,Challenge_AllCards_EventDeck,Night Witch,Graveyard,Arrows,Bowler,Giant,Bats,Giant Snowball,Skeleton Army,Baby Dragon,Tornado,Graveyard,Valkyrie,Ice Wizard,Poison,Barbarian Barrel,Tombstone,1.0,0.0
24,Challenge_AllCards_EventDeck,Night Witch,Graveyard,Arrows,Bowler,Giant,Bats,Giant Snowball,Skeleton Army,P.E.K.K.A,Graveyard,Dark Prince,Electro Wizard,Executioner,Tornado,Poison,Golden Knight,2.0,1.0
0,RAMRIDER_Rage_Buff_Tournament,Ram Rider,Electro Spirit,Archer Queen,Royal Ghost,Bandit,Lightning,Mega Knight,Giant Snowball,Ram Rider,Giant Snowball,Lightning,Electro Wizard,Barbarian Barrel,Golden Knight,Royal Ghost,P.E.K.K.A,1.0,2.0
1,RAMRIDER_Rage_Buff_Tournament,Ram Rider,Electro Spirit,Archer Queen,Royal Ghost,Bandit,Lightning,Mega Knight,Giant Snowball,Ram Rider,Fireball,Mother Witch,Furnace,Goblin Hut,Flying Machine,Barbarian Barrel,Mega Knight,1.0,3.0
2,RAMRIDER_Rage_Buff_Tournament,Ram Rider,Electro Spirit,Archer Queen,Royal Ghost,Bandit,Lightning,Mega Knight,Giant Snowball,Ram Rider,Golden Knight,Witch,Valkyrie,Wizard,Firecracker,Mega Knight,Electro Dragon,0.0,3.0
3,Ladder,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Mega Knight,Giant Snowball,Archer Queen,Electro Spirit,Ram Rider,Bandit,Royal Ghost,Lightning,0.0,1.0
4,Ladder,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Bandit,Ram Rider,Royal Ghost,Giant Snowball,Electro Spirit,Lightning,Mega Knight,Archer Queen,0.0,1.0
5,Ladder,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Skeleton King,Bowler,Witch,Tombstone,Graveyard,Freeze,Mega Minion,Arrows,1.0,0.0
6,Ladder,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Giant,Giant Snowball,Skeleton Army,Minions,Musketeer,Graveyard,Arrows,Dark Prince,1.0,0.0
7,Ladder,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,P.E.K.K.A,Battle Ram,Royal Ghost,Electro Wizard,Archer Queen,Bandit,Zap,Fireball,1.0,0.0
8,Ladder,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Mega Minion,Graveyard,Inferno Tower,Freeze,Archers,Bowler,Valkyrie,Arrows,0.0,1.0
9,Ladder,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,P.E.K.K.A,Magic Archer,Elixir Golem,Zappies,Dark Prince,Tornado,Electro Dragon,Earthquake,1.0,0.0
