County_full,longitude,latitude,D,E,F,color
"Effingham County, GA",-81.3203,32.333,201.0,2.0,0.02,yellow
"Campbell County, VA",-79.113,37.2214,233.0,6.9,0.05,yellow
"Maui County, HI",-156.5643,20.8765,75.0,4.7,0.03,green
"Hopkins County, KY",-87.5252,37.2752,282.0,3.0,0.01,yellow
"Ochiltree County, TX",-100.7976,36.393,1281.0,2.0,0.03,yellow
"Alamance County, NC",-79.4068,36.0876,74.0,8.8,0.1,green
"Linn County, IA",-91.6033,42.0707,55.0,4.9,0.02,green
"Mississippi County, AR",-90.0862,35.7198,305.0,0.0,0.0,yellow
"Whatcom County, WA",-122.407,48.878,54.0,1.3,0.05,green
"Montgomery County, TN",-87.342,36.5695,59.0,0.0,0.01,green
"Brown County, TX",-98.9932,31.7875,327.0,0.0,0.0,yellow
"Cayuga County, NY",-76.6181,43.0227,159.0,8.3,0.04,green
"San Juan Municipio, PR",-66.0636,18.4037,38.0,1.5,0.0,green
"Franklin County, KY",-84.8643,38.1924,237.0,2.4,0.04,yellow
"Nome Census Area, AK",-165.0884,64.662,1210.0,3.1,0.03,yellow
"Marion County, OR",-122.7993,44.9676,35.0,5.9,0.02,green
"Rock County, WI",-89.094,42.6775,72.0,5.1,0.03,green
"Hunterdon County, NJ",-74.9402,40.5804,95.0,2.6,0.01,green
"Jefferson Parish, LA",-90.1311,29.8586,27.0,2.9,0.01,green
"Yolo County, CA",-121.8372,38.6586,54.0,6.6,0.05,green
"Newport County, RI",-71.3012,41.5183,144.0,2.3,0.02,green
"Barnstable County, MA",-70.3647,41.6597,55.0,2.8,0.01,green
"Ottawa County, MI",-86.0446,42.9414,40.0,1.7,0.04,green
"McDowell County, NC",-82.066,35.6535,256.0,0.0,0.0,yellow
"Navajo County, AZ",-110.206,34.9958,105.0,2.0,0.02,green
"Campbell County, TN",-84.1443,36.4002,294.0,2.2,0.04,yellow
"Santa Fe County, NM",-106.0074,35.7201,77.0,5.0,0.04,green
"Whitfield County, GA",-84.9836,34.8686,111.0,4.8,0.04,green
"Montgomery County, KY",-83.8906,38.0092,412.0,2.5,0.04,yellow
"Niagara County, NY",-78.773,43.1739,55.0,4.4,0.03,green
"Pueblo County, CO",-104.6313,38.1765,69.0,2.0,0.01,green
"Anderson County, KY",-84.9032,38.0332,506.0,2.4,0.04,yellow
"Amherst County, VA",-79.0783,37.5152,361.0,6.9,0.05,yellow
"Lancaster County, PA",-76.2455,40.0928,21.0,2.2,0.02,green
"Minidoka County, ID",-113.6615,42.6414,537.0,2.2,0.02,yellow
"Lackawanna County, PA",-75.5991,41.4631,53.0,6.1,0.05,green
"Charlotte County, FL",-82.1257,26.935,59.0,7.4,0.03,green
"Sussex County, DE",-75.3059,38.6451,48.0,4.0,0.02,green
"Taylor County, KY",-85.3511,37.3446,431.0,2.7,0.04,yellow
"Franklin County, WA",-118.9755,46.4947,117.0,3.3,0.02,green
"St. Charles County, MO",-90.7047,38.7754,28.0,1.2,0.04,green
"Westmoreland County, PA",-79.5694,40.3149,32.0,3.1,0.02,green
"McLean County, IL",-88.8612,40.5017,64.0,3.1,0.01,green
"Doña Ana County, NM",-106.7663,32.2618,50.0,2.4,0.02,green
"Baxter County, AR",-92.4055,36.2662,262.0,1.7,0.01,yellow
"Litchfield County, CT",-73.1908,41.7871,61.0,5.1,0.02,green
"Winnebago County, IL",-89.1281,42.3485,39.0,1.9,0.02,green
"Pettis County, MO",-93.3027,38.7525,257.0,1.0,0.01,yellow
"Chattahoochee County, GA",-84.787,32.347,999.0,6.4,0.06,yellow
"Broome County, NY",-75.9607,42.1589,57.0,7.5,0.04,green
"Mohave County, AZ",-113.9896,35.4765,51.0,8.5,0.04,green
"Northampton County, PA",-75.3005,40.737,35.0,3.9,0.02,green
"Hawaii County, HI",-155.3962,19.647,53.0,1.5,0.01,green
"Benewah County, ID",-116.7972,47.2567,1151.0,2.0,0.03,yellow
"East Baton Rouge Parish, LA",-91.0875,30.4611,24.0,2.2,0.01,green
"Webb County, TX",-99.3343,27.5673,39.0,2.0,0.04,green
"Calhoun County, MI",-85.0699,42.2257,80.0,0.5,0.05,green
"Monongalia County, WV",-80.0108,39.6614,100.0,9.0,0.05,green
"Jackson County, OR",-122.8758,42.425,48.0,6.3,0.03,green
"Brunswick County, NC",-78.2046,34.023,74.0,3.9,0.05,green
"Stearns County, MN",-94.5885,45.5466,65.0,1.8,0.04,green
"Warren County, KY",-86.3701,36.9682,79.0,4.9,0.02,green
"Berkshire County, MA",-73.2466,42.4616,84.0,1.7,0.02,green
"Franklin County, NY",-74.3874,44.6484,210.0,6.6,0.09,yellow
"York County, PA",-76.7129,39.9296,23.0,1.5,0.03,green
"Cass County, MO",-94.3893,38.6868,98.0,4.2,0.05,green
"Allen County, IN",-84.9953,41.1169,27.0,4.1,0.01,green
"Thurston County, WA",-122.8158,46.9356,35.0,3.9,0.03,green
"Sebastian County, AR",-94.3062,35.2034,81.0,3.2,0.03,green
"Sutter County, CA",-121.6455,38.9982,106.0,4.6,0.04,green
"Lancaster County, NE",-96.6747,40.7424,32.0,3.9,0.02,green
"Adair County, KY",-85.3074,37.1036,526.0,2.7,0.04,yellow
"Mobile County, AL",-88.1388,30.7737,24.0,2.4,0.01,green
"Berks County, PA",-75.9308,40.3867,24.0,2.6,0.01,green
"Madison County, IL",-89.9578,38.8259,38.0,2.0,0.01,green
"St. Clair County, IL",-89.9843,38.5082,39.0,1.4,0.02,green
"Lucas County, OH",-83.6753,41.6181,23.0,4.4,0.03,green
"Williamson County, TN",-86.8658,35.9322,42.0,5.2,0.02,green
"Jefferson County, NY",-75.8833,44.0543,90.0,8.6,0.01,green
"Fauquier County, VA",-77.7548,38.682,139.0,0.7,0.01,green
"McCracken County, KY",-88.6145,37.0376,151.0,3.9,0.02,green
"Frederick County, MD",-77.4277,39.4289,38.0,1.5,0.03,green
"Alexandria city, VA",-77.0861,38.8185,61.0,2.0,0.02,green
"Kendall County, IL",-88.4693,41.6052,76.0,1.7,0.01,green
"El Dorado County, CA",-120.7686,38.7587,51.0,6.6,0.05,green
"Bibb County, GA",-83.6974,32.8065,63.0,3.5,0.01,green
"Brown County, WI",-88.0432,44.4893,36.0,5.7,0.04,green
"Hamilton County, IN",-86.0702,40.0797,28.0,4.5,0.02,green
"Atlantic County, NJ",-74.617,39.4431,36.0,4.5,0.01,green
"Galveston County, TX",-94.9829,29.4089,28.0,6.7,0.04,green
"Monroe County, MI",-83.4385,41.9223,62.0,4.4,0.03,green
"Randolph County, AR",-90.913,36.3104,518.0,3.9,0.02,yellow
"Sandoval County, NM",-106.6267,35.5925,63.0,6.4,0.03,green
"Craven County, NC",-77.0954,35.0954,91.0,3.8,0.03,green
"Kent County, DE",-75.5443,39.1018,51.0,4.0,0.02,green
"Calhoun County, AL",-85.8022,33.7373,82.0,5.4,0.01,green
"Kanawha County, WV",-81.5644,38.3139,52.0,4.4,0.06,green
"Gaston County, NC",-81.1466,35.2981,41.0,0.8,0.05,green
"Yuma County, AZ",-114.4737,32.6722,43.0,6.4,0.05,green
"Middlesex County, CT",-72.4569,41.4003,57.0,5.1,0.02,green
"Oxford County, ME",-70.5113,44.219,159.0,3.6,0.02,green
"Macon County, NC",-83.2892,35.1169,254.0,0.0,0.02,yellow
"Peoria County, IL",-89.7067,40.7327,51.0,6.5,0.01,green
"Champaign County, IL",-88.1846,40.116,43.0,5.3,0.01,green
"Richmond city, VA",-76.761,37.9603,39.0,5.3,0.03,green
"Dunklin County, MO",-90.0918,36.2543,309.0,3.9,0.02,yellow
